SHA 256 FLAT,PE256 Authenticode,Filename,Architecture,Partner,CVEs,Revocation List Date
2DF05C41ACC56D0F4C9371DA62EC6CB311C9AFB84B4A4D8C3738583CCC874D38,C805603C4FA038776E42F263C604B49D96840322E1922D5606A9B0BBB5BFFE6F,BOOTX64.EFI,64-bit, Ciscso Systems Inc.,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
AA6F27B8B2CA5826F497362042C003B5E1D7CA22383D82730FBC5C45E048D839,56FB79AAB26EE9D0E0CA372FB86A8BB459ACBC505D0AB35E6A632A3D5F88DCB3,bootia32.efi,32-bit,Neverware,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
3F8F266488F3B888EB77B8DF43582FA8124366B7D0670ED78926410F9C9F411F,D8D4E6DDF6E42D74A6A536EA62FD1217E4290B145C9E5C3695A31B42EFB5F5A4,bootx64.efi,64-bit,Neverware,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
4E371DD0448F1DE869EE087B59FF88D11865463715272BCC6C29B0D5E21DBD82,F277AF4F9BDC918AE89FA35CC1B34E34984C04AE9765322C3CB049574D36509C,bootx64.efi,64-bit,Miray Software AG,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
A9F6C38C2608D6F36F246E74A9FD17E915C89E54EAFA2281B8ACE86133DF22B3,ADCC0B6FD6DC5911BF42F036C033FC3E43F07A8312E91D0D8D32793B62940C7E,BOOTia32.efi,32-bit,whitecanyon,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
0E5EB8D0BEBF089A974BC0CA85D33D73F9A0BF72ED2A5E3A62A0387B51D509CE,68EE4632C7BE1C66C83E89DD93EAEE1294159ABF45B4C2C72D7DC7499AA2A043,bootx64.efi,64-bit,Miray Software AG,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
F88E92940985413ACD440DAA20C08DF99C54613636826D9D95B898D39C44B19B,148FE18F715A9FCFE1A444CE0FFF7F85869EB422330DC04B314C0F295D6DA79E,bootmgfw.efi,64-bit,Microsoft,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
50484376441815F7F85AA294290A9B6072A6A9E8FEAE79447C5C4DE855C5A3D3,AD3BE589C0474E97DE5BB2BF33534948B76BB80376DFDC58B1FED767B5A15BFC,BOOTx64.efi,64-bit,whitecanyon,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
7B5DFE4F9E4EE68E3CDD9C91BCAE26DB334D49AE4C1F9525CECD834DE48DF110,E051B788ECBAEDA53046C70E6AF6058F95222C046157B8C4C1B9C2CFC65F46E5,bootx64.efi,64-bit,NTI Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
0DD832075D552DA3D29B1EF471FC23B47C0D54B9FD1541935B23F1C5813DA08C,C452AB846073DF5ACE25CCA64D6B7A09D906308A1A65EB5240E3C4EBCAA9CC0C,BOOTX64.EFI,64-bit,Alt Linux LTD,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
2F871712447DDE7C3552F5AA90A2292821C6F32D92788E00DEE8566F8D4DE209,98CC8B91FEC5252F62E81843D9D5D8AC2A2F253AA38152B3236A5092200ED290,bootia32.efi,32-bit,Alt Linux LTD,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
5156A8AE596C06692AEF13AC6524C7F1E20D52E4EA0F5A5AD43A6874EDCC5E1F,3A91F0F9E5287FA2994C7D930B2C1A5EE14CE8E1C8304AE495ADC58CC4453C0C,bootx64.efi,64-bit,Alt Linux LTD,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
CEF9A1B433C4ED851EC0C373F7E1F19A2B8C306A821D114F177B14E8C070276F,1B909115A8D473E51328A87823BD621CE655DFAE54FA2BFA72FDC0298611D6B8,,64-bit,Alt Linux LTD,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
C4B5797189521611B809720ED9C4734F1DEC8A2EE2597781FFE438F652A58CE5,8C0349D708571AE5AA21C11363482332073297D868F29058916529EFC520EF70,bootx64.efi,64-bit,Alt Linux LTD,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
5C39F0E5E0E7FA3BE05090813B13D161ACAF48494FDE6233B452C416D29CDDBE,C452AB846073DF5ACE25CCA64D6B7A09D906308A1A65EB5240E3C4EBCAA9CC0C,,64-bit,Alt Linux LTD,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
9EA346FCFE6DB7F3140DA8FFD5738F6CF97D6014DA61033B32049CB17696B372,EED7E0EFF2ED559E2A79EE361F9962AF3B1E999131E30BB7FD07546FAE0A7267,,64-bit,Alt Linux LTD,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
E352109145416E3B61DCF5E09492D24410828121E7D74C08CE0D3157B45A0831,BADFF5E4F0FEA711701CA8FB22E4C43821E31E210CF52D1D4F74DD50F1D039BC,BOOTx64.EFI,64-bit,BITDEFENDER,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
A95666BFAF48FD9C4CAF2F3ED4EB593145C48BD3C93E4B00638088CE7EE962CF,D89A11D16C488DD4FBBC541D4B07FAF8670D660994488FE54B1FBFF2704E4288,,64-bit,BITDEFENDER,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
AECD34387179AFF5CE02103679312CDEB1DA835015A8548FCE93765E7219612E,F2A16D35B554694187A70D40CA682959F4F35C2CE0EAB8FD64F7AC2AB9F5C24A,,64-bit,BITDEFENDER,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
24D6B301A1268BA8B373275981538855205EB0115609800F2B5B95377483B108,5B248E913D71853D3DA5AEDD8D9A4BC57A917126573817FB5FCB2D86A2F1C886,bootx64.efi,64-bit,Blancco Technology Group,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
