Name,Author,Created,Commands,Command,Description,Usecase,Category,Privileges,MitreID,OperatingSystem,Resources,driver_description,Acknowledgement,Person,Handle,Detection,KnownHashes,Metadata,binary,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,OriginalFilename,driver_verified,POCs
ADV64DRV.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,"BlockRule: https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules, IOC: Utilize Windows Event Code 7045 to monitor for new kernel driver installation.",hash:04A85E359525D662338CAE86C1E59B1D7AA9BD12B920E8067503723DC1E03162,,,,01:30 AM 08/29/2006,FUJITSU LIMITED,,,,,"2, 0, 0, 0",,ADV64DRV.sys,TRUE,
Agent64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:05F052C64D192CF69A462A5EC16DDA0D43CA5D0245900C9FCB9201685A2E7748, hash:4045AE77859B1DBF13972451972EAAF6F3C97BEA423E9E78F1C2F14330CD47CA, hash:6948480954137987A0BE626C24CF594390960242CD75F094CD6AAA5C2E7A54FA, hash:8CB62C5D41148DE416014F80BD1FD033FD4D2BD504CB05B90EEB6992A382D58F, hash:B1D96233235A62DBB21B8DBE2D1AE333199669F67664B107BFF1AD49B41D9414",,,,,"""eSupport.com, Inc."", Phoenix Technologies Ltd, ""eSupport.com, Inc"" ",,,,,,,,TRUE,
ALSysIO64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:7196187FB1EF8D108B380D37B2AF8EFDEB3CA1F6EEFD37B5DC114C609147216D, hash:7F375639A0DF7FE51E5518CF87C3F513C55BC117DB47D28DA8C615642EB18BFA",,,,,Artur Liberman,,ALSysIO,,,,,,TRUE,
amifldrv64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:42579A759F3F95F20A2C51D5AC2047A2662A2675B3FB9F46C1ED7F23393A0F00,,,,,"""American Megatrends, Inc.""",,,,,,,,TRUE,
AsIO.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:2DA330A2088409EFC351118445A824F11EDBE51CF3D653B298053785097FE40E, hash:436CCAB6F62FA2D29827916E054ADE7ACAE485B3DE1D3E5C6C62D3DEBF1480E7, hash:B4D47EA790920A4531E3DF5A4B4B0721B7FEA6B49A35679F0652F1E590422602, hash:DDE6F28B3F7F2ABBEE59D4864435108791631E9CB4CDFB1F178E5AA9859956D8",,,,,ASUSTeK Computer Inc.,,,,,,,,TRUE,
AsIO64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:B48A309EE0960DA3CAAAAF1E794E8C409993AEB3A2B64809F36B97AAC8A1E62A,,,,,ASUSTeK Computer Inc.,,,,,,,,TRUE,
asmmap64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:025E7BE9FCEFD6A83F4471BBA0C11F1C11BD5047047D26626DA24EE9A419CDC4,,,,,ASUSTeK Computer Inc.,,Memory mapping Driver,,,,,,TRUE,
AsrAutoChkUpdDrv.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:2AA1B08F47FBB1E2BD2E4A492F5D616968E703E1359A921F62B38B8E4662F0C4,,,,,ASROCK Incorporation,,AsrAutoChkUpdDrv Driver,,,,,,TRUE,
AsrDrv10.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:ECE0A900EA089E730741499614C0917432246CEB5E11599EE3A1BB679E24FD2C,,,,,ASROCK Incorporation,,ASRock IO Driver,,,,,,TRUE,
AsrDrv101.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:F40435488389B4FB3B945CA21A8325A51E1B5F80F045AB019748D0EC66056A8B,,,,,ASROCK Incorporation,,ASRock IO Driver,,,,,,TRUE,
AsrIbDrv.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:2A652DE6B680D5AD92376AD323021850DAB2C653ABF06EDF26120F7714B8E08A,,,,,ASROCK Incorporation,,RW-Everything Read & Write Driver,,,,,,TRUE,
AsrOmgDrv.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:950A4C0C772021CEE26011A92194F0E58D61588F77F2873AA0599DFF52A160C9,,,,,ASROCK Incorporation,,ASRock IO Driver,,,,,,TRUE,
AsrRapidStartDrv.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:0AAFA9F47ACF69D46C9542985994FF5321F00842A28DF2396D4A3076776A83CB,,,,,ASROCK Incorporation,,RW-Everything Read & Write Driver,,,,,,TRUE,
AsrSmartConnectDrv.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:47F08F7D30D824A8F4BB8A98916401A37C0FD8502DB308ABA91FE3112B892DCC,,,,,ASROCK Incorporation,,RW-Everything Read & Write Driver,,,,,,TRUE,
AsUpIO.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:B9A4E40A5D80FEDD1037EAED958F9F9EFED41EB01ADA73D51B5DCD86E27E0CBF,,,,,ASUSTeK Computer Inc.,,,,,,,,TRUE,
atillk64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:5C04C274A708C9A7D993E33BE3EA9E6119DC29527A767410DBAF93996F87369A,,,,,"""ATI Technologies, Inc""",,ATI Diagnostics Hardware Abstraction Sys,,,,,,TRUE,
BS_Def64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:0040153302B88BEE27EB4F1ECA6855039E1A057370F5E8C615724FA5215BADA3, hash:3326E2D32BBABD69FEB6024809AFC56C7E39241EBE70A53728C77E80995422A5, hash:36B9E31240AB0341873C7092B63E2E0F2CAB2962EBF9B25271C3A1216B7669EB",,,,,ASUSTeK Computer Inc.,,Default BIOS Flash Driver,,,,,,TRUE,
CITMDRV_AMD64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:29E0062A017A93B2F2F5207A608A96DF4D554C5DE976BD0276C2590A03BD3E94, hash:45ABDBCD4C0916B7D9FAAF1CD08543A3A5178871074628E0126A6EDA890D26E0, hash:50DB5480D0392A7DD6AB5DF98389DC24D1ED1E9C98C9C35964B19DABCD6DC67F, hash:607DC4C75AC7AEF82AE0616A453866B3B358C6CF5C8F9D29E4D37F844306B97C, hash:61D6E40601FA368800980801A662A5B3B36E3C23296E8AE1C85726A56EF18CC8, hash:74A846C61ADC53692D3040AFF4C1916F32987AD72B07FE226E9E7DBEFF1036C4, hash:76FB4DEAEE57EF30E56C382C92ABFFE2CF616D08DBECB3368C8EE6B02E59F303, hash:81939E5C12BD627FF268E9887D6FB57E95E6049F28921F3437898757E7F21469, hash:9790A7B9D624B2B18768BB655DDA4A05A9929633CEF0B1521E79E40D7DE0A05B, hash:9A1D66036B0868BBB1B2823209FEDEA61A301D5DD245F8E7D390BD31E52D663E, hash:AA9AB1195DC866270E984F1BED5E1358D6EF24C515DFDB6C2A92D1E1B94BF608, hash:AF095DE15A16255CA1B2C27DAD365DFF9AC32D2A75E8E288F5A1307680781685, hash:D5586DC1E61796A9AE5E5D1CED397874753056C3DF2EB963A8916287E1929A71, hash:D8459F7D707C635E2C04D6D6D47B63F73BA3F6629702C7A6E0DF0462F6478AE2, hash:E81230217988F3E7EC6F89A06D231EC66039BDBA340FD8EBB2BBB586506E3293, hash:F88EBB633406A086D9CCA6BC8B66A4EA940C5476529F9033A9E0463512A23A57",,,,,IBM Polska Sp. z o.o.,,,,,,,,TRUE,
